Date : 2025-12-03 17:08:13
Directory : c:\laragon\www\MinaPorcoIntegrador\public
Total : 211 files,  80342 codes, 3543 comments, 16078 blanks, all 99963 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PostCSS    |         12 |     57,802 |        290 |     12,083 |     70,175 |
| SCSS       |        186 |     12,242 |      2,081 |      2,677 |     17,000 |
| JavaScript |         11 |     10,284 |      1,168 |      1,310 |     12,762 |
| PHP        |          1 |         10 |          4 |          7 |         21 |
| JSON       |          1 |          4 |          0 |          1 |          5 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        211 |     80,342 |      3,543 |     16,078 |     99,963 |
| . (Files)                                                                                                               |          2 |         14 |          4 |          8 |         26 |
| assets                                                                                                                  |        205 |     68,739 |      2,292 |     14,619 |     85,650 |
| assets\css                                                                                                              |          9 |     54,805 |        129 |     11,736 |     66,670 |
| assets\css (Files)                                                                                                      |          2 |     18,336 |         49 |      3,700 |     22,085 |
| assets\css\partials                                                                                                     |          6 |     18,134 |         44 |      4,340 |     22,518 |
| assets\css\partials\dashboard                                                                                           |          3 |      9,067 |         22 |      2,170 |     11,259 |
| assets\css\partials\dashboard\core                                                                                      |          3 |      9,067 |         22 |      2,170 |     11,259 |
| assets\css\partials\dashboard\core\bootstrap                                                                            |          3 |      9,067 |         22 |      2,170 |     11,259 |
| assets\css\partials\dashboard\core\bootstrap\scss                                                                       |          3 |      9,067 |         22 |      2,170 |     11,259 |
| assets\css\partials\kit                                                                                                 |          3 |      9,067 |         22 |      2,170 |     11,259 |
| assets\css\partials\kit\core                                                                                            |          3 |      9,067 |         22 |      2,170 |     11,259 |
| assets\css\partials\kit\core\bootstrap                                                                                  |          3 |      9,067 |         22 |      2,170 |     11,259 |
| assets\css\partials\kit\core\bootstrap\scss                                                                             |          3 |      9,067 |         22 |      2,170 |     11,259 |
| assets\css\test                                                                                                         |          1 |     18,335 |         36 |      3,696 |     22,067 |
| assets\demo                                                                                                             |          2 |        266 |          3 |         32 |        301 |
| assets\js                                                                                                               |          8 |      1,426 |         79 |        174 |      1,679 |
| assets\js (Files)                                                                                                       |          2 |        299 |         36 |         89 |        424 |
| assets\js\core                                                                                                          |          3 |        787 |          5 |         47 |        839 |
| assets\js\plugins                                                                                                       |          3 |        340 |         38 |         38 |        416 |
| assets\scss                                                                                                             |        186 |     12,242 |      2,081 |      2,677 |     17,000 |
| assets\scss (Files)                                                                                                     |          1 |         34 |         17 |          7 |         58 |
| assets\scss\material-dashboard                                                                                          |        185 |     12,208 |      2,064 |      2,670 |     16,942 |
| assets\scss\material-dashboard (Files)                                                                                  |         31 |      4,219 |        202 |        725 |      5,146 |
| assets\scss\material-dashboard\bootstrap                                                                                |         83 |      4,488 |      1,031 |      1,201 |      6,720 |
| assets\scss\material-dashboard\bootstrap\scss                                                                           |         83 |      4,488 |      1,031 |      1,201 |      6,720 |
| assets\scss\material-dashboard\bootstrap\scss (Files)                                                                   |         38 |      3,489 |        819 |        972 |      5,280 |
| assets\scss\material-dashboard\bootstrap\scss\mixins                                                                    |         31 |        709 |        166 |        144 |      1,019 |
| assets\scss\material-dashboard\bootstrap\scss\utilities                                                                 |         14 |        290 |         46 |         85 |        421 |
| assets\scss\material-dashboard\cards                                                                                    |          3 |        104 |          0 |         21 |        125 |
| assets\scss\material-dashboard\dark-edition                                                                             |         21 |        584 |         31 |        143 |        758 |
| assets\scss\material-dashboard\mixins                                                                                   |         18 |      1,582 |        205 |        276 |      2,063 |
| assets\scss\material-dashboard\plugins                                                                                  |          3 |        511 |         41 |        122 |        674 |
| assets\scss\material-dashboard\variables                                                                                |         26 |        720 |        554 |        182 |      1,456 |
| css                                                                                                                     |          2 |      2,895 |        160 |        324 |      3,379 |
| js                                                                                                                      |          2 |      8,694 |      1,087 |      1,127 |     10,908 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\laragon\www\MinaPorcoIntegrador\public\assets\css\material-dashboard.css                                             | PostCSS    |     18,335 |         36 |      3,700 |     22,071 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\css\material-dashboard.min.css                                         | PostCSS    |          1 |         13 |          0 |         14 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\dashboard\core\bootstrap\scss\bootstrap-grid.css          | PostCSS    |      1,452 |          7 |        416 |      1,875 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\dashboard\core\bootstrap\scss\bootstrap-reboot.css        | PostCSS    |        281 |          8 |         57 |        346 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\dashboard\core\bootstrap\scss\bootstrap.css               | PostCSS    |      7,334 |          7 |      1,697 |      9,038 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\kit\core\bootstrap\scss\bootstrap-grid.css                | PostCSS    |      1,452 |          7 |        416 |      1,875 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\kit\core\bootstrap\scss\bootstrap-reboot.css              | PostCSS    |        281 |          8 |         57 |        346 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\kit\core\bootstrap\scss\bootstrap.css                     | PostCSS    |      7,334 |          7 |      1,697 |      9,038 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\css\test\material-dashboard.css                                        | PostCSS    |     18,335 |         36 |      3,696 |     22,067 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\demo\demo.css                                                          | PostCSS    |        102 |          1 |         23 |        126 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\demo\demo.js                                                           | JavaScript |        164 |          2 |          9 |        175 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\js\core\bootstrap-material-design.min.js                               | JavaScript |          1 |          0 |          0 |          1 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\js\core\jquery.min.js                                                  | JavaScript |          1 |          1 |          1 |          3 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\js\core\popper.min.js                                                  | JavaScript |        785 |          4 |         46 |        835 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\js\material-dashboard.js                                               | JavaScript |        298 |         35 |         89 |        422 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\js\material-dashboard.min.js                                           | JavaScript |          1 |          1 |          0 |          2 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\js\plugins\bootstrap-notify.js                                         | JavaScript |        337 |         31 |         36 |        404 |
| c:\laragon\www\MinaPorcoIntegrador\public\assets\js\plugins\chartist.min.js                                             | JavaScript |          2 |          6 |          2 |         10 |
