"filename", "language", "PHP", "comment", "blank", "total"
"c:\laragon\www\MinaPorcoIntegrador\database\factories\UserFactory.php", "PHP", 25, 14, 6, 45
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 38, 6, 6, 50
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 25, 6, 5, 36
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 46, 6, 6, 58
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_18_155138_create_permission_tables.php", "PHP", 103, 8, 24, 135
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_18_173245_create_cargos_table.php", "PHP", 22, 6, 4, 32
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_18_173511_create_areas_table.php", "PHP", 21, 6, 4, 31
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_18_173530_create_trabajadors_table.php", "PHP", 33, 7, 4, 44
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_25_000001_create_ingresos_table.php", "PHP", 23, 0, 4, 27
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_25_000002_create_incidentes_table.php", "PHP", 25, 0, 4, 29
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_25_000003_create_sensor_data_table.php", "PHP", 22, 0, 4, 26
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_25_000004_create_sensors_table.php", "PHP", 21, 0, 4, 25
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_25_000005_create_tool_requests_table.php", "PHP", 22, 0, 4, 26
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_27_171638_add_turno_to_trabajadors_table.php", "PHP", 19, 6, 4, 29
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_12_04_084853_add_trabajador_id_to_tool_requests_table.php", "PHP", 24, 7, 6, 37
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_12_04_150325_rename_subnivel_to_observacion_in_ingresos_table.php", "PHP", 19, 6, 4, 29
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_12_09_000600_add_spacing_to_sensors_table.php", "PHP", 18, 0, 5, 23
"c:\laragon\www\MinaPorcoIntegrador\database\seeders\AdminUserSeeder.php", "PHP", 50, 4, 7, 61
"c:\laragon\www\MinaPorcoIntegrador\database\seeders\DatabaseSeeder.php", "PHP", 13, 9, 4, 26
"Total", "-", 569, 91, 109, 769
