"filename", "language", "PHP", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\MinaPorcoIntegrador\database\factories\UserFactory.php", "PHP", -25, 0, 0, -14, -6, -45
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", -38, 0, 0, -6, -6, -50
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", -25, 0, 0, -6, -5, -36
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", -46, 0, 0, -6, -6, -58
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_18_155138_create_permission_tables.php", "PHP", -103, 0, 0, -8, -24, -135
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_18_173245_create_cargos_table.php", "PHP", -22, 0, 0, -6, -4, -32
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_18_173511_create_areas_table.php", "PHP", -21, 0, 0, -6, -4, -31
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_18_173530_create_trabajadors_table.php", "PHP", -33, 0, 0, -7, -4, -44
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_25_000001_create_ingresos_table.php", "PHP", -23, 0, 0, 0, -4, -27
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_25_000002_create_incidentes_table.php", "PHP", -25, 0, 0, 0, -4, -29
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_25_000003_create_sensor_data_table.php", "PHP", -22, 0, 0, 0, -4, -26
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_25_000004_create_sensors_table.php", "PHP", -21, 0, 0, 0, -4, -25
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_25_000005_create_tool_requests_table.php", "PHP", -22, 0, 0, 0, -4, -26
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_11_27_171638_add_turno_to_trabajadors_table.php", "PHP", -19, 0, 0, -6, -4, -29
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_12_04_084853_add_trabajador_id_to_tool_requests_table.php", "PHP", -24, 0, 0, -7, -6, -37
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_12_04_150325_rename_subnivel_to_observacion_in_ingresos_table.php", "PHP", -19, 0, 0, -6, -4, -29
"c:\laragon\www\MinaPorcoIntegrador\database\migrations\2025_12_09_000600_add_spacing_to_sensors_table.php", "PHP", -18, 0, 0, 0, -5, -23
"c:\laragon\www\MinaPorcoIntegrador\database\seeders\AdminUserSeeder.php", "PHP", -50, 0, 0, -4, -7, -61
"c:\laragon\www\MinaPorcoIntegrador\database\seeders\DatabaseSeeder.php", "PHP", -13, 0, 0, -9, -4, -26
"c:\laragon\www\MinaPorcoIntegrador\resources\css\app.css", "PostCSS", 0, 0, 3, 0, 1, 4
"c:\laragon\www\MinaPorcoIntegrador\resources\js\app.js", "JavaScript", 0, 4, 0, 0, 4, 8
"c:\laragon\www\MinaPorcoIntegrador\resources\js\bootstrap.js", "JavaScript", 0, 3, 0, 0, 2, 5
"c:\laragon\www\MinaPorcoIntegrador\resources\views\adminS\areas\create.blade.php", "PHP", 32, 0, 0, 0, 1, 33
"c:\laragon\www\MinaPorcoIntegrador\resources\views\adminS\areas\edit.blade.php", "PHP", 32, 0, 0, 0, 1, 33
"c:\laragon\www\MinaPorcoIntegrador\resources\views\adminS\areas\index.blade.php", "PHP", 69, 0, 0, 0, 3, 72
"c:\laragon\www\MinaPorcoIntegrador\resources\views\alerts\index.blade.php", "PHP", 250, 0, 0, 3, 15, 268
"c:\laragon\www\MinaPorcoIntegrador\resources\views\areas\create.blade.php", "PHP", 49, 0, 0, 0, 5, 54
"c:\laragon\www\MinaPorcoIntegrador\resources\views\areas\edit.blade.php", "PHP", 49, 0, 0, 0, 5, 54
"c:\laragon\www\MinaPorcoIntegrador\resources\views\areas\index.blade.php", "PHP", 72, 0, 0, 0, 2, 74
"c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\confirm-password.blade.php", "PHP", 22, 0, 0, 0, 6, 28
"c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\forgot-password.blade.php", "PHP", 21, 0, 0, 0, 5, 26
"c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\login.blade.php", "PHP", 178, 0, 0, 3, 29, 210
"c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\register.blade.php", "PHP", 42, 0, 0, 0, 11, 53
"c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\reset-password.blade.php", "PHP", 32, 0, 0, 0, 8, 40
"c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\verify-email.blade.php", "PHP", 26, 0, 0, 0, 6, 32
"c:\laragon\www\MinaPorcoIntegrador\resources\views\business_flow.blade.php", "PHP", 70, 0, 0, 0, 8, 78
"c:\laragon\www\MinaPorcoIntegrador\resources\views\cargos\create.blade.php", "PHP", 66, 0, 0, 0, 5, 71
"c:\laragon\www\MinaPorcoIntegrador\resources\views\cargos\edit.blade.php", "PHP", 65, 0, 0, 0, 5, 70
"c:\laragon\www\MinaPorcoIntegrador\resources\views\cargos\index.blade.php", "PHP", 74, 0, 0, 0, 2, 76
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\application-logo.blade.php", "PHP", 3, 0, 0, 0, 1, 4
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\auth-session-status.blade.php", "PHP", 6, 0, 0, 0, 2, 8
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\confirm-modal.blade.php", "PHP", 64, 0, 0, 8, 11, 83
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\danger-button.blade.php", "PHP", 3, 0, 0, 0, 1, 4
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\dropdown-link.blade.php", "PHP", 1, 0, 0, 0, 1, 2
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\dropdown.blade.php", "PHP", 30, 0, 0, 0, 5, 35
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\input-error.blade.php", "PHP", 8, 0, 0, 0, 2, 10
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\input-label.blade.php", "PHP", 4, 0, 0, 0, 2, 6
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\modal.blade.php", "PHP", 11, 0, 0, 0, 3, 14
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\nav-link.blade.php", "PHP", 9, 0, 0, 0, 3, 12
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\notification.blade.php", "PHP", 151, 0, 0, 6, 24, 181
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\primary-button.blade.php", "PHP", 3, 0, 0, 0, 1, 4
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\responsive-nav-link.blade.php", "PHP", 9, 0, 0, 0, 3, 12
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\secondary-button.blade.php", "PHP", 3, 0, 0, 0, 1, 4
"c:\laragon\www\MinaPorcoIntegrador\resources\views\components\text-input.blade.php", "PHP", 2, 0, 0, 0, 2, 4
"c:\laragon\www\MinaPorcoIntegrador\resources\views\control-grupal\index.blade.php", "PHP", 442, 0, 0, 18, 34, 494
"c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard.blade.php", "PHP", 56, 0, 0, 1, 5, 62
"c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\alerts.blade.php", "PHP", 119, 0, 0, 2, 6, 127
"c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\detail_modal.blade.php", "PHP", 16, 0, 0, 0, 1, 17
"c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\quick_links.blade.php", "PHP", 23, 0, 0, 0, 4, 27
"c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\recent_incidentes.blade.php", "PHP", 32, 0, 0, 0, 1, 33
"c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\recent_trabajadores.blade.php", "PHP", 34, 0, 0, 0, 1, 35
"c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\partials\stats.blade.php", "PHP", 53, 0, 0, 0, 1, 54
"c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\roles\admin-area.blade.php", "PHP", 47, 0, 0, 0, 3, 50
"c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\roles\admin-principal.blade.php", "PHP", 123, 0, 0, 0, 4, 127
"c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\roles\tecnico.blade.php", "PHP", 194, 0, 0, 0, 5, 199
"c:\laragon\www\MinaPorcoIntegrador\resources\views\dashboard\roles\trabajador.blade.php", "PHP", 68, 0, 0, 0, 0, 68
"c:\laragon\www\MinaPorcoIntegrador\resources\views\emails\credenciales.blade.php", "PHP", 20, 0, 0, 0, 8, 28
