Date : 2025-12-09 16:01:46
Directory : c:\laragon\www\MinaPorcoIntegrador\resources
Total : 102 files,  7857 codes, 79 comments, 660 blanks, all 8596 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |         99 |      7,847 |         79 |        653 |      8,579 |
| JavaScript |          2 |          7 |          0 |          6 |         13 |
| PostCSS    |          1 |          3 |          0 |          1 |          4 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        102 |      7,857 |         79 |        660 |      8,596 |
| css                                                                                                           |          1 |          3 |          0 |          1 |          4 |
| js                                                                                                            |          2 |          7 |          0 |          6 |         13 |
| views                                                                                                         |         99 |      7,847 |         79 |        653 |      8,579 |
| views (Files)                                                                                                 |          4 |        823 |         12 |         48 |        883 |
| views\adminS                                                                                                  |          3 |        133 |          0 |          5 |        138 |
| views\adminS\areas                                                                                            |          3 |        133 |          0 |          5 |        138 |
| views\alerts                                                                                                  |          1 |        250 |          3 |         15 |        268 |
| views\areas                                                                                                   |          3 |        170 |          0 |         12 |        182 |
| views\auth                                                                                                    |          6 |        321 |          3 |         65 |        389 |
| views\cargos                                                                                                  |          3 |        205 |          0 |         12 |        217 |
| views\components                                                                                              |         15 |        307 |         14 |         62 |        383 |
| views\control-grupal                                                                                          |          1 |        442 |         18 |         34 |        494 |
| views\dashboard                                                                                               |         10 |        709 |          2 |         26 |        737 |
| views\dashboard\partials                                                                                      |          6 |        277 |          2 |         14 |        293 |
| views\dashboard\roles                                                                                         |          4 |        432 |          0 |         12 |        444 |
| views\emails                                                                                                  |          1 |         20 |          0 |          8 |         28 |
| views\firebase-sensors                                                                                        |          3 |        466 |          5 |         27 |        498 |
| views\incidentes                                                                                              |          1 |         65 |          0 |          3 |         68 |
| views\layouts                                                                                                 |          5 |        321 |          9 |         45 |        375 |
| views\layouts_brezze                                                                                          |          3 |        145 |          0 |         24 |        169 |
| views\mi                                                                                                      |          7 |        391 |          0 |         29 |        420 |
| views\modules                                                                                                 |          2 |        210 |          0 |         17 |        227 |
| views\profile                                                                                                 |          5 |        337 |          0 |         61 |        398 |
| views\profile (Files)                                                                                         |          2 |        197 |          0 |         31 |        228 |
| views\profile\partials                                                                                        |          3 |        140 |          0 |         30 |        170 |
| views\reportes                                                                                                |         10 |      1,192 |          0 |         62 |      1,254 |
| views\reportes (Files)                                                                                        |          6 |        828 |          0 |         39 |        867 |
| views\reportes\pdf                                                                                            |          4 |        364 |          0 |         23 |        387 |
| views\sensors                                                                                                 |          4 |        228 |          0 |         22 |        250 |
| views\sensors (Files)                                                                                         |          1 |         46 |          0 |          4 |         50 |
| views\sensors\devices                                                                                         |          3 |        182 |          0 |         18 |        200 |
| views\system                                                                                                  |          1 |        310 |          0 |         28 |        338 |
| views\tool_requests                                                                                           |          1 |         52 |          0 |          3 |         55 |
| views\trabajadores                                                                                            |         10 |        750 |         13 |         45 |        808 |
| views\trabajadores (Files)                                                                                    |          5 |        536 |          1 |         33 |        570 |
| views\trabajadores\partials                                                                                   |          5 |        214 |         12 |         12 |        238 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\laragon\www\MinaPorcoIntegrador\resources\css\app.css                                                      | PostCSS    |          3 |          0 |          1 |          4 |
| c:\laragon\www\MinaPorcoIntegrador\resources\js\app.js                                                        | JavaScript |          4 |          0 |          4 |          8 |
| c:\laragon\www\MinaPorcoIntegrador\resources\js\bootstrap.js                                                  | JavaScript |          3 |          0 |          2 |          5 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\adminS\areas\create.blade.php                              | PHP        |         32 |          0 |          1 |         33 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\adminS\areas\edit.blade.php                                | PHP        |         32 |          0 |          1 |         33 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\adminS\areas\index.blade.php                               | PHP        |         69 |          0 |          3 |         72 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\alerts\index.blade.php                                     | PHP        |        250 |          3 |         15 |        268 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\areas\create.blade.php                                     | PHP        |         49 |          0 |          5 |         54 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\areas\edit.blade.php                                       | PHP        |         49 |          0 |          5 |         54 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\areas\index.blade.php                                      | PHP        |         72 |          0 |          2 |         74 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\confirm-password.blade.php                            | PHP        |         22 |          0 |          6 |         28 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\forgot-password.blade.php                             | PHP        |         21 |          0 |          5 |         26 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\login.blade.php                                       | PHP        |        178 |          3 |         29 |        210 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\register.blade.php                                    | PHP        |         42 |          0 |         11 |         53 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\reset-password.blade.php                              | PHP        |         32 |          0 |          8 |         40 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\auth\verify-email.blade.php                                | PHP        |         26 |          0 |          6 |         32 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\business_flow.blade.php                                    | PHP        |         70 |          0 |          8 |         78 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\cargos\create.blade.php                                    | PHP        |         66 |          0 |          5 |         71 |
| c:\laragon\www\MinaPorcoIntegrador\resources\views\cargos\edit.blade.php                                      | PHP        |         65 |          0 |          5 |         70 |
